pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
A Birder's Guide to Everything;2013;86 min.;Rob Meyer;Comedia;John DeFore; The Hollywood Reporter ;positiva;Kodi Smit-McPhee,James LeGros,Ben Kingsley,Alex Wolff,Daniela Lavender,Ethan Cohn,Stephen Kunken,Katie Chang,Lucas Near-Verbrugghe,Adam Barrie,Tobias Campbell,Joel Van Liew,Briana Marin,Ira Hawkins
A Birder's Guide to Everything;2013;86 min.;Rob Meyer;Comedia;Ronnie Scheib; Variety ;positiva;Kodi Smit-McPhee,James LeGros,Ben Kingsley,Alex Wolff,Daniela Lavender,Ethan Cohn,Stephen Kunken,Katie Chang,Lucas Near-Verbrugghe,Adam Barrie,Tobias Campbell,Joel Van Liew,Briana Marin,Ira Hawkins
A Bittersweet Life;2005;120 min.;Kim Jee-woon;Thriller;Sam Toy; Empire ;positiva;Lee Byung-hun,Hwang Jeong-min,Ku Jin,Shin Min-a,Roe-ha Kim,Yeong-cheol Kim
A Blue Room (C);2014;14 min.;Tomasz Siwinski;Animación;Pablo González Taboada; Cinemanía ;positiva;Animation
A Boy. A Girl. A Dream: Love on Election Night;2018;89 min.;Qasim Basir;Romance;Dennis Harvey; Variety ;neutral;Dijon Talton,Meagan Good,Omari Hardwick
A Boy. A Girl. A Dream: Love on Election Night;2018;89 min.;Qasim Basir;Romance;Todd McCarthy; The Hollywood Reporter ;neutral;Dijon Talton,Meagan Good,Omari Hardwick
A Boy. A Girl. A Dream: Love on Election Night;2018;89 min.;Qasim Basir;Romance;Nick Allen; rogerebert.com ;neutral;Dijon Talton,Meagan Good,Omari Hardwick
A Boy Called Dad;2009;80 min.;Brian Percival;Drama;Ross Bennett; Empire ;positiva;Kyle Ward,Ian Hart,Sacha Parkinson,Louise Delamere,Steve Evets,Crissy Rock
A Bride for Rip Van Winkle;2016;179 min.;Shunji Iwai;Drama;Simon Abrams; rogerebert.com ;neutral;Haru Kuroki,Cocco,Gô Ayano,Sôkô Wada,Tomoko Mariya,Hideko Hara,Hyunri,Gô Jibiki
A Bride for Rip Van Winkle;2016;179 min.;Shunji Iwai;Drama;Maggie Lee; Variety ;positiva;Haru Kuroki,Cocco,Gô Ayano,Sôkô Wada,Tomoko Mariya,Hideko Hara,Hyunri,Gô Jibiki
A Bride for Rip Van Winkle;2016;179 min.;Shunji Iwai;Drama;Sarah Ward; Screendaily ;positiva;Haru Kuroki,Cocco,Gô Ayano,Sôkô Wada,Tomoko Mariya,Hideko Hara,Hyunri,Gô Jibiki
A Bride for Rip Van Winkle;2016;179 min.;Shunji Iwai;Drama;Robert Abele; Los Angeles Times ;positiva;Haru Kuroki,Cocco,Gô Ayano,Sôkô Wada,Tomoko Mariya,Hideko Hara,Hyunri,Gô Jibiki
A Bride for Rip Van Winkle;2016;179 min.;Shunji Iwai;Drama;Elizabeth Kerr; The Hollywood Reporter ;neutral;Haru Kuroki,Cocco,Gô Ayano,Sôkô Wada,Tomoko Mariya,Hideko Hara,Hyunri,Gô Jibiki
A Bride for Rip Van Winkle;2016;179 min.;Shunji Iwai;Drama;Diego Semerene; Slant ;negativa;Haru Kuroki,Cocco,Gô Ayano,Sôkô Wada,Tomoko Mariya,Hideko Hara,Hyunri,Gô Jibiki
A Brother's Kiss (Un beso de hermano);1997;92 min.;Seth Zvi Rosenfeld;Drama;Javier Mendoza; Cinemanía ;positiva;John Leguizamo,Rosie Pérez,Nick Chinlund,Marisa Tomei,Michael Raynor,Justin Pierce,Joshua Danowsky,Talent Harris,Cathy Moriarty,Richard Palmer,Scott Cohen,Jason Andrews,Frank Minucci,Alesha,Michael Rapaport,Jennifer Esposito,Adrian Pasdar
A cambio de nada;2015;93 min.;Daniel Guzmán;Drama;Javier Ocaña; Diario El País ;positiva;Miguel Herrán,Antonio Bachiller,Luis Tosar,María Miguel,Antonia Guzmán,Felipe Vélez,Patricia Santos,Miguel Rellán,Fernando Albizu,Sebastián Haro,Roberto Álvarez,Luis Zahera,Ález Barahona,Lara Sajén,Mario Llorente,Carlos Olalla,Beatriz Argüello,Iris Alpáñez,Adelfa Calvo,Manolo Caro
